"funnel","rides","platform","age_group","request_date","revenue"
"ride requested","2","android","18-24","02:08:00","0"
"ride requested","1","android","18-24","02:09:00","0"
"ride requested","2","android","18-24","02:10:00","0"
"ride requested","1","android","18-24","02:12:00","0"
"ride requested","2","android","18-24","02:14:00","0"
"ride requested","2","android","18-24","02:15:00","0"
"ride requested","1","android","18-24","02:16:00","0"
"ride requested","1","android","18-24","02:19:00","0"
"ride requested","2","android","18-24","02:20:00","0"
"ride requested","1","android","18-24","02:21:00","0"
"ride requested","1","android","18-24","02:24:00","0"
"ride requested","1","android","18-24","02:26:00","0"
"ride requested","1","android","18-24","02:28:00","0"
"ride requested","2","android","18-24","02:29:00","0"
"ride requested","1","android","18-24","02:30:00","0"
"ride requested","1","android","18-24","02:32:00","0"
"ride requested","1","android","18-24","02:34:00","0"
"ride requested","1","android","18-24","02:35:00","0"
"ride requested","1","android","18-24","02:36:00","0"
"ride requested","1","android","18-24","02:37:00","0"
"ride requested","1","android","18-24","02:39:00","0"
"ride requested","1","android","18-24","02:41:00","0"
"ride requested","3","android","18-24","02:43:00","0"
"ride requested","1","android","18-24","02:44:00","0"
"ride requested","1","android","18-24","02:45:00","0"
"ride requested","1","android","18-24","02:48:00","0"
"ride requested","1","android","18-24","02:49:00","0"
"ride requested","1","android","18-24","02:50:00","0"
"ride requested","2","android","18-24","02:54:00","0"
"ride requested","1","android","18-24","02:56:00","0"
"ride requested","1","android","18-24","02:57:00","0"
"ride requested","1","android","18-24","02:58:00","0"
"ride requested","1","android","18-24","03:00:00","0"
"ride requested","3","android","18-24","03:01:00","0"
"ride requested","2","android","18-24","03:02:00","0"
"ride requested","2","android","18-24","03:04:00","0"
"ride requested","1","android","18-24","03:07:00","0"
"ride requested","1","android","18-24","03:09:00","0"
"ride requested","1","android","18-24","03:11:00","0"
"ride requested","2","android","18-24","03:12:00","0"
"ride requested","1","android","18-24","03:13:00","0"
"ride requested","1","android","18-24","03:14:00","0"
"ride requested","3","android","18-24","03:16:00","0"
"ride requested","1","android","18-24","03:17:00","0"
"ride requested","1","android","18-24","03:19:00","0"
"ride requested","2","android","18-24","03:20:00","0"
"ride requested","1","android","18-24","03:21:00","0"
"ride requested","1","android","18-24","03:22:00","0"
"ride requested","1","android","18-24","03:23:00","0"
"ride requested","1","android","18-24","03:25:00","0"
"ride requested","2","android","18-24","03:26:00","0"
"ride requested","1","android","18-24","03:27:00","0"
"ride requested","3","android","18-24","03:28:00","0"
"ride requested","1","android","18-24","03:29:00","0"
"ride requested","4","android","18-24","03:31:00","0"
"ride requested","1","android","18-24","03:32:00","0"
"ride requested","2","android","18-24","03:34:00","0"
"ride requested","2","android","18-24","03:36:00","0"
"ride requested","2","android","18-24","03:37:00","0"
"ride requested","3","android","18-24","03:40:00","0"
"ride requested","1","android","18-24","03:41:00","0"
"ride requested","2","android","18-24","03:44:00","0"
"ride requested","1","android","18-24","03:45:00","0"
"ride requested","2","android","18-24","03:48:00","0"
"ride requested","1","android","18-24","03:49:00","0"
"ride requested","1","android","18-24","03:52:00","0"
"ride requested","1","android","18-24","03:53:00","0"
"ride requested","1","android","18-24","03:54:00","0"
"ride requested","1","android","18-24","03:56:00","0"
"ride requested","1","android","18-24","03:57:00","0"
"ride requested","2","android","18-24","03:58:00","0"
"ride requested","1","android","18-24","03:59:00","0"
"ride requested","2","android","18-24","04:00:00","0"
"ride requested","2","android","18-24","04:03:00","0"
"ride requested","1","android","18-24","04:04:00","0"
"ride requested","1","android","18-24","04:05:00","0"
"ride requested","3","android","18-24","04:11:00","0"
"ride requested","1","android","18-24","04:12:00","0"
"ride requested","1","android","18-24","04:14:00","0"
"ride requested","1","android","18-24","04:18:00","0"
"ride requested","2","android","18-24","04:24:00","0"
"ride requested","3","android","18-24","04:25:00","0"
"ride requested","1","android","18-24","04:27:00","0"
"ride requested","1","android","18-24","04:28:00","0"
"ride requested","1","android","18-24","04:29:00","0"
"ride requested","1","android","18-24","04:30:00","0"
"ride requested","1","android","18-24","04:35:00","0"
"ride requested","1","android","18-24","04:38:00","0"
"ride requested","2","android","18-24","04:41:00","0"
"ride requested","1","android","18-24","04:42:00","0"
"ride requested","1","android","18-24","04:43:00","0"
"ride requested","1","android","18-24","04:47:00","0"
"ride requested","2","android","18-24","04:49:00","0"
"ride requested","1","android","18-24","04:50:00","0"
"ride requested","2","android","18-24","04:51:00","0"
"ride requested","1","android","18-24","04:52:00","0"
"ride requested","1","android","18-24","04:53:00","0"
"ride requested","1","android","18-24","04:58:00","0"
"ride requested","2","android","18-24","05:00:00","0"
"ride requested","1","android","18-24","05:01:00","0"
"ride requested","1","android","18-24","05:05:00","0"
"ride requested","2","android","18-24","05:06:00","0"
"ride requested","1","android","18-24","05:07:00","0"
"ride requested","2","android","18-24","05:10:00","0"
"ride requested","1","android","18-24","05:11:00","0"
"ride requested","1","android","18-24","05:12:00","0"
"ride requested","3","android","18-24","05:13:00","0"
"ride requested","1","android","18-24","05:18:00","0"
"ride requested","1","android","18-24","05:20:00","0"
"ride requested","1","android","18-24","05:21:00","0"
"ride requested","2","android","18-24","05:24:00","0"
"ride requested","1","android","18-24","05:25:00","0"
"ride requested","1","android","18-24","05:26:00","0"
"ride requested","1","android","18-24","05:27:00","0"
"ride requested","4","android","18-24","05:28:00","0"
"ride requested","1","android","18-24","05:29:00","0"
"ride requested","2","android","18-24","05:30:00","0"
"ride requested","2","android","18-24","05:31:00","0"
"ride requested","1","android","18-24","05:33:00","0"
"ride requested","1","android","18-24","05:34:00","0"
"ride requested","2","android","18-24","05:35:00","0"
"ride requested","1","android","18-24","05:37:00","0"
"ride requested","1","android","18-24","05:38:00","0"
"ride requested","1","android","18-24","05:39:00","0"
"ride requested","1","android","18-24","05:40:00","0"
"ride requested","3","android","18-24","05:41:00","0"
"ride requested","1","android","18-24","05:44:00","0"
"ride requested","1","android","18-24","05:45:00","0"
"ride requested","2","android","18-24","05:46:00","0"
"ride requested","1","android","18-24","05:48:00","0"
"ride requested","1","android","18-24","05:50:00","0"
"ride requested","3","android","18-24","05:55:00","0"
"ride requested","1","android","18-24","05:56:00","0"
"ride requested","1","android","18-24","05:58:00","0"
"ride requested","2","android","18-24","05:59:00","0"
"ride requested","2","android","18-24","06:00:00","0"
"ride requested","1","android","18-24","06:01:00","0"
"ride requested","2","android","18-24","06:02:00","0"
"ride requested","1","android","18-24","06:03:00","0"
"ride requested","1","android","18-24","06:10:00","0"
"ride requested","1","android","18-24","06:13:00","0"
"ride requested","1","android","18-24","06:15:00","0"
"ride requested","1","android","18-24","06:16:00","0"
"ride requested","2","android","18-24","06:18:00","0"
"ride requested","2","android","18-24","06:19:00","0"
"ride requested","3","android","18-24","06:21:00","0"
"ride requested","4","android","18-24","06:22:00","0"
"ride requested","4","android","18-24","06:23:00","0"
"ride requested","1","android","18-24","06:24:00","0"
"ride requested","2","android","18-24","06:26:00","0"
"ride requested","1","android","18-24","06:28:00","0"
"ride requested","2","android","18-24","06:33:00","0"
"ride requested","2","android","18-24","06:34:00","0"
"ride requested","1","android","18-24","06:35:00","0"
"ride requested","1","android","18-24","06:38:00","0"
"ride requested","1","android","18-24","06:40:00","0"
"ride requested","1","android","18-24","06:41:00","0"
"ride requested","2","android","18-24","06:42:00","0"
"ride requested","1","android","18-24","06:43:00","0"
"ride requested","4","android","18-24","06:44:00","0"
"ride requested","2","android","18-24","06:46:00","0"
"ride requested","1","android","18-24","06:48:00","0"
"ride requested","3","android","18-24","06:49:00","0"
"ride requested","1","android","18-24","06:50:00","0"
"ride requested","2","android","18-24","06:51:00","0"
"ride requested","1","android","18-24","06:52:00","0"
"ride requested","1","android","18-24","06:54:00","0"
"ride requested","3","android","18-24","06:55:00","0"
"ride requested","1","android","18-24","06:58:00","0"
"ride requested","2","android","18-24","07:01:00","0"
"ride requested","1","android","18-24","07:07:00","0"
"ride requested","2","android","18-24","07:08:00","0"
"ride requested","2","android","18-24","07:09:00","0"
"ride requested","1","android","18-24","07:11:00","0"
"ride requested","4","android","18-24","07:14:00","0"
"ride requested","2","android","18-24","07:17:00","0"
"ride requested","1","android","18-24","07:18:00","0"
"ride requested","2","android","18-24","07:19:00","0"
"ride requested","2","android","18-24","07:21:00","0"
"ride requested","1","android","18-24","07:22:00","0"
"ride requested","1","android","18-24","07:24:00","0"
"ride requested","1","android","18-24","07:26:00","0"
"ride requested","3","android","18-24","07:28:00","0"
"ride requested","1","android","18-24","07:31:00","0"
"ride requested","1","android","18-24","07:33:00","0"
"ride requested","2","android","18-24","07:34:00","0"
"ride requested","2","android","18-24","07:36:00","0"
"ride requested","1","android","18-24","07:38:00","0"
"ride requested","2","android","18-24","07:39:00","0"
"ride requested","2","android","18-24","07:41:00","0"
"ride requested","3","android","18-24","07:43:00","0"
"ride requested","1","android","18-24","07:44:00","0"
"ride requested","1","android","18-24","07:45:00","0"
"ride requested","2","android","18-24","07:47:00","0"
"ride requested","1","android","18-24","07:48:00","0"
"ride requested","1","android","18-24","07:49:00","0"
"ride requested","1","android","18-24","07:52:00","0"
"ride requested","1","android","18-24","07:53:00","0"
"ride requested","2","android","18-24","07:54:00","0"
"ride requested","1","android","18-24","07:55:00","0"
"ride requested","1","android","18-24","07:56:00","0"
"ride requested","1","android","18-24","07:57:00","0"
"ride requested","1","android","18-24","07:59:00","0"
"ride requested","37","android","18-24","08:00:00","0"
"ride requested","26","android","18-24","08:01:00","0"
"ride requested","27","android","18-24","08:02:00","0"
"ride requested","29","android","18-24","08:03:00","0"
"ride requested","26","android","18-24","08:04:00","0"
"ride requested","30","android","18-24","08:05:00","0"
"ride requested","30","android","18-24","08:06:00","0"
"ride requested","24","android","18-24","08:07:00","0"
"ride requested","32","android","18-24","08:08:00","0"
"ride requested","28","android","18-24","08:09:00","0"
"ride requested","35","android","18-24","08:10:00","0"
"ride requested","39","android","18-24","08:11:00","0"
"ride requested","29","android","18-24","08:12:00","0"
"ride requested","38","android","18-24","08:13:00","0"
"ride requested","22","android","18-24","08:14:00","0"
"ride requested","31","android","18-24","08:15:00","0"
"ride requested","23","android","18-24","08:16:00","0"
"ride requested","38","android","18-24","08:17:00","0"
"ride requested","35","android","18-24","08:18:00","0"
"ride requested","35","android","18-24","08:19:00","0"
"ride requested","32","android","18-24","08:20:00","0"
"ride requested","32","android","18-24","08:21:00","0"
"ride requested","27","android","18-24","08:22:00","0"
"ride requested","25","android","18-24","08:23:00","0"
"ride requested","30","android","18-24","08:24:00","0"
"ride requested","34","android","18-24","08:25:00","0"
"ride requested","29","android","18-24","08:26:00","0"
"ride requested","30","android","18-24","08:27:00","0"
"ride requested","40","android","18-24","08:28:00","0"
"ride requested","37","android","18-24","08:29:00","0"
"ride requested","24","android","18-24","08:30:00","0"
"ride requested","27","android","18-24","08:31:00","0"
"ride requested","35","android","18-24","08:32:00","0"
"ride requested","39","android","18-24","08:33:00","0"
"ride requested","24","android","18-24","08:34:00","0"
"ride requested","34","android","18-24","08:35:00","0"
"ride requested","30","android","18-24","08:36:00","0"
"ride requested","32","android","18-24","08:37:00","0"
"ride requested","33","android","18-24","08:38:00","0"
"ride requested","31","android","18-24","08:39:00","0"
"ride requested","29","android","18-24","08:40:00","0"
"ride requested","29","android","18-24","08:41:00","0"
"ride requested","26","android","18-24","08:42:00","0"
"ride requested","36","android","18-24","08:43:00","0"
"ride requested","30","android","18-24","08:44:00","0"
"ride requested","25","android","18-24","08:45:00","0"
"ride requested","23","android","18-24","08:46:00","0"
"ride requested","43","android","18-24","08:47:00","0"
"ride requested","32","android","18-24","08:48:00","0"
"ride requested","38","android","18-24","08:49:00","0"
"ride requested","33","android","18-24","08:50:00","0"
"ride requested","38","android","18-24","08:51:00","0"
"ride requested","39","android","18-24","08:52:00","0"
"ride requested","33","android","18-24","08:53:00","0"
"ride requested","31","android","18-24","08:54:00","0"
"ride requested","32","android","18-24","08:55:00","0"
"ride requested","37","android","18-24","08:56:00","0"
"ride requested","31","android","18-24","08:57:00","0"
"ride requested","34","android","18-24","08:58:00","0"
"ride requested","33","android","18-24","08:59:00","0"
"ride requested","24","android","18-24","09:00:00","0"
"ride requested","23","android","18-24","09:01:00","0"
"ride requested","38","android","18-24","09:02:00","0"
"ride requested","32","android","18-24","09:03:00","0"
"ride requested","27","android","18-24","09:04:00","0"
"ride requested","28","android","18-24","09:05:00","0"
"ride requested","33","android","18-24","09:06:00","0"
"ride requested","19","android","18-24","09:07:00","0"
"ride requested","29","android","18-24","09:08:00","0"
"ride requested","34","android","18-24","09:09:00","0"
"ride requested","50","android","18-24","09:10:00","0"
"ride requested","28","android","18-24","09:11:00","0"
"ride requested","28","android","18-24","09:12:00","0"
"ride requested","27","android","18-24","09:13:00","0"
"ride requested","34","android","18-24","09:14:00","0"
"ride requested","33","android","18-24","09:15:00","0"
"ride requested","32","android","18-24","09:16:00","0"
"ride requested","26","android","18-24","09:17:00","0"
"ride requested","32","android","18-24","09:18:00","0"
"ride requested","37","android","18-24","09:19:00","0"
"ride requested","37","android","18-24","09:20:00","0"
"ride requested","30","android","18-24","09:21:00","0"
"ride requested","23","android","18-24","09:22:00","0"
"ride requested","34","android","18-24","09:23:00","0"
"ride requested","26","android","18-24","09:24:00","0"
"ride requested","30","android","18-24","09:25:00","0"
"ride requested","33","android","18-24","09:26:00","0"
"ride requested","31","android","18-24","09:27:00","0"
"ride requested","32","android","18-24","09:28:00","0"
"ride requested","28","android","18-24","09:29:00","0"
"ride requested","25","android","18-24","09:30:00","0"
"ride requested","31","android","18-24","09:31:00","0"
"ride requested","27","android","18-24","09:32:00","0"
"ride requested","27","android","18-24","09:33:00","0"
"ride requested","33","android","18-24","09:34:00","0"
"ride requested","43","android","18-24","09:35:00","0"
"ride requested","27","android","18-24","09:36:00","0"
"ride requested","38","android","18-24","09:37:00","0"
"ride requested","26","android","18-24","09:38:00","0"
"ride requested","22","android","18-24","09:39:00","0"
"ride requested","36","android","18-24","09:40:00","0"
"ride requested","38","android","18-24","09:41:00","0"
"ride requested","17","android","18-24","09:42:00","0"
"ride requested","19","android","18-24","09:43:00","0"
"ride requested","43","android","18-24","09:44:00","0"
"ride requested","32","android","18-24","09:45:00","0"
"ride requested","34","android","18-24","09:46:00","0"
"ride requested","33","android","18-24","09:47:00","0"
"ride requested","20","android","18-24","09:48:00","0"
"ride requested","22","android","18-24","09:49:00","0"
"ride requested","26","android","18-24","09:50:00","0"
"ride requested","35","android","18-24","09:51:00","0"
"ride requested","24","android","18-24","09:52:00","0"
"ride requested","43","android","18-24","09:53:00","0"
"ride requested","27","android","18-24","09:54:00","0"
"ride requested","28","android","18-24","09:55:00","0"
"ride requested","25","android","18-24","09:56:00","0"
"ride requested","34","android","18-24","09:57:00","0"
"ride requested","39","android","18-24","09:58:00","0"
"ride requested","27","android","18-24","09:59:00","0"
"ride requested","46","android","18-24","10:00:00","0"
"ride requested","3","android","18-24","10:01:00","0"
"ride requested","7","android","18-24","10:02:00","0"
"ride requested","4","android","18-24","10:03:00","0"
"ride requested","6","android","18-24","10:04:00","0"
"ride requested","5","android","18-24","10:05:00","0"
"ride requested","6","android","18-24","10:06:00","0"
"ride requested","2","android","18-24","10:07:00","0"
"ride requested","1","android","18-24","10:08:00","0"
"ride requested","3","android","18-24","10:09:00","0"
"ride requested","4","android","18-24","10:10:00","0"
"ride requested","2","android","18-24","10:11:00","0"
"ride requested","2","android","18-24","10:12:00","0"
"ride requested","3","android","18-24","10:13:00","0"
"ride requested","4","android","18-24","10:14:00","0"
"ride requested","4","android","18-24","10:15:00","0"
"ride requested","5","android","18-24","10:16:00","0"
"ride requested","6","android","18-24","10:17:00","0"
"ride requested","6","android","18-24","10:18:00","0"
"ride requested","2","android","18-24","10:19:00","0"
"ride requested","4","android","18-24","10:20:00","0"
"ride requested","4","android","18-24","10:21:00","0"
"ride requested","3","android","18-24","10:22:00","0"
"ride requested","2","android","18-24","10:23:00","0"
"ride requested","4","android","18-24","10:24:00","0"
"ride requested","2","android","18-24","10:25:00","0"
"ride requested","7","android","18-24","10:26:00","0"
"ride requested","4","android","18-24","10:27:00","0"
"ride requested","6","android","18-24","10:28:00","0"
"ride requested","3","android","18-24","10:29:00","0"
"ride requested","5","android","18-24","10:30:00","0"
"ride requested","3","android","18-24","10:31:00","0"
"ride requested","10","android","18-24","10:32:00","0"
"ride requested","5","android","18-24","10:33:00","0"
"ride requested","5","android","18-24","10:34:00","0"
"ride requested","4","android","18-24","10:35:00","0"
"ride requested","4","android","18-24","10:36:00","0"
"ride requested","3","android","18-24","10:37:00","0"
"ride requested","4","android","18-24","10:38:00","0"
"ride requested","5","android","18-24","10:39:00","0"
"ride requested","5","android","18-24","10:40:00","0"
"ride requested","5","android","18-24","10:41:00","0"
"ride requested","3","android","18-24","10:42:00","0"
"ride requested","4","android","18-24","10:43:00","0"
"ride requested","3","android","18-24","10:44:00","0"
"ride requested","3","android","18-24","10:45:00","0"
"ride requested","5","android","18-24","10:46:00","0"
"ride requested","3","android","18-24","10:47:00","0"
"ride requested","6","android","18-24","10:48:00","0"
"ride requested","5","android","18-24","10:49:00","0"
"ride requested","4","android","18-24","10:50:00","0"
"ride requested","6","android","18-24","10:51:00","0"
"ride requested","5","android","18-24","10:52:00","0"
"ride requested","5","android","18-24","10:53:00","0"
"ride requested","1","android","18-24","10:54:00","0"
"ride requested","5","android","18-24","10:55:00","0"
"ride requested","3","android","18-24","10:56:00","0"
"ride requested","3","android","18-24","10:57:00","0"
"ride requested","8","android","18-24","10:58:00","0"
"ride requested","7","android","18-24","10:59:00","0"
"ride requested","3","android","18-24","11:00:00","0"
"ride requested","6","android","18-24","11:01:00","0"
"ride requested","4","android","18-24","11:02:00","0"
"ride requested","2","android","18-24","11:03:00","0"
"ride requested","5","android","18-24","11:04:00","0"
"ride requested","3","android","18-24","11:05:00","0"
"ride requested","2","android","18-24","11:06:00","0"
"ride requested","2","android","18-24","11:07:00","0"
"ride requested","3","android","18-24","11:08:00","0"
"ride requested","3","android","18-24","11:09:00","0"
"ride requested","1","android","18-24","11:10:00","0"
"ride requested","6","android","18-24","11:11:00","0"
"ride requested","4","android","18-24","11:12:00","0"
"ride requested","1","android","18-24","11:13:00","0"
"ride requested","8","android","18-24","11:14:00","0"
"ride requested","6","android","18-24","11:15:00","0"
"ride requested","2","android","18-24","11:16:00","0"
"ride requested","4","android","18-24","11:17:00","0"
"ride requested","5","android","18-24","11:18:00","0"
"ride requested","1","android","18-24","11:19:00","0"
"ride requested","3","android","18-24","11:20:00","0"
"ride requested","6","android","18-24","11:21:00","0"
"ride requested","2","android","18-24","11:22:00","0"
"ride requested","4","android","18-24","11:23:00","0"
"ride requested","3","android","18-24","11:24:00","0"
"ride requested","6","android","18-24","11:25:00","0"
"ride requested","3","android","18-24","11:26:00","0"
"ride requested","3","android","18-24","11:27:00","0"
"ride requested","8","android","18-24","11:28:00","0"
"ride requested","5","android","18-24","11:29:00","0"
"ride requested","3","android","18-24","11:30:00","0"
"ride requested","3","android","18-24","11:31:00","0"
"ride requested","6","android","18-24","11:32:00","0"
"ride requested","2","android","18-24","11:33:00","0"
"ride requested","1","android","18-24","11:34:00","0"
"ride requested","5","android","18-24","11:35:00","0"
"ride requested","7","android","18-24","11:36:00","0"
"ride requested","4","android","18-24","11:37:00","0"
"ride requested","7","android","18-24","11:38:00","0"
"ride requested","4","android","18-24","11:39:00","0"
"ride requested","1","android","18-24","11:40:00","0"
"ride requested","7","android","18-24","11:41:00","0"
"ride requested","6","android","18-24","11:42:00","0"
"ride requested","4","android","18-24","11:43:00","0"
"ride requested","4","android","18-24","11:44:00","0"
"ride requested","2","android","18-24","11:45:00","0"
"ride requested","7","android","18-24","11:46:00","0"
"ride requested","2","android","18-24","11:47:00","0"
"ride requested","3","android","18-24","11:48:00","0"
"ride requested","1","android","18-24","11:49:00","0"
"ride requested","4","android","18-24","11:50:00","0"
"ride requested","3","android","18-24","11:51:00","0"
"ride requested","5","android","18-24","11:52:00","0"
"ride requested","1","android","18-24","11:53:00","0"
"ride requested","4","android","18-24","11:54:00","0"
"ride requested","2","android","18-24","11:55:00","0"
"ride requested","3","android","18-24","11:56:00","0"
"ride requested","4","android","18-24","11:57:00","0"
"ride requested","4","android","18-24","11:59:00","0"
"ride requested","3","android","18-24","12:00:00","0"
"ride requested","6","android","18-24","12:01:00","0"
"ride requested","4","android","18-24","12:02:00","0"
"ride requested","11","android","18-24","12:03:00","0"
"ride requested","4","android","18-24","12:04:00","0"
"ride requested","4","android","18-24","12:05:00","0"
"ride requested","6","android","18-24","12:06:00","0"
"ride requested","4","android","18-24","12:07:00","0"
"ride requested","5","android","18-24","12:08:00","0"
"ride requested","2","android","18-24","12:09:00","0"
"ride requested","4","android","18-24","12:10:00","0"
"ride requested","4","android","18-24","12:11:00","0"
"ride requested","3","android","18-24","12:12:00","0"
"ride requested","5","android","18-24","12:13:00","0"
"ride requested","5","android","18-24","12:14:00","0"
"ride requested","3","android","18-24","12:15:00","0"
"ride requested","4","android","18-24","12:16:00","0"
"ride requested","5","android","18-24","12:17:00","0"
"ride requested","11","android","18-24","12:19:00","0"
"ride requested","5","android","18-24","12:20:00","0"
"ride requested","5","android","18-24","12:21:00","0"
"ride requested","7","android","18-24","12:22:00","0"
"ride requested","9","android","18-24","12:23:00","0"
"ride requested","4","android","18-24","12:24:00","0"
"ride requested","3","android","18-24","12:25:00","0"
"ride requested","3","android","18-24","12:26:00","0"
"ride requested","5","android","18-24","12:27:00","0"
"ride requested","2","android","18-24","12:28:00","0"
"ride requested","4","android","18-24","12:29:00","0"
"ride requested","2","android","18-24","12:30:00","0"
"ride requested","3","android","18-24","12:31:00","0"
"ride requested","1","android","18-24","12:32:00","0"
"ride requested","2","android","18-24","12:33:00","0"
"ride requested","4","android","18-24","12:34:00","0"
"ride requested","5","android","18-24","12:35:00","0"
"ride requested","6","android","18-24","12:36:00","0"
"ride requested","6","android","18-24","12:37:00","0"
"ride requested","7","android","18-24","12:38:00","0"
"ride requested","6","android","18-24","12:39:00","0"
"ride requested","8","android","18-24","12:40:00","0"
"ride requested","4","android","18-24","12:41:00","0"
"ride requested","1","android","18-24","12:42:00","0"
"ride requested","1","android","18-24","12:43:00","0"
"ride requested","1","android","18-24","12:44:00","0"
"ride requested","3","android","18-24","12:45:00","0"
"ride requested","4","android","18-24","12:46:00","0"
"ride requested","6","android","18-24","12:47:00","0"
"ride requested","3","android","18-24","12:48:00","0"
"ride requested","3","android","18-24","12:49:00","0"
"ride requested","3","android","18-24","12:50:00","0"
"ride requested","3","android","18-24","12:51:00","0"
"ride requested","5","android","18-24","12:52:00","0"
"ride requested","2","android","18-24","12:53:00","0"
"ride requested","4","android","18-24","12:54:00","0"
"ride requested","6","android","18-24","12:55:00","0"
"ride requested","4","android","18-24","12:56:00","0"
"ride requested","2","android","18-24","12:57:00","0"
"ride requested","7","android","18-24","12:58:00","0"
"ride requested","4","android","18-24","12:59:00","0"
"ride requested","4","android","18-24","13:00:00","0"
"ride requested","5","android","18-24","13:01:00","0"
"ride requested","6","android","18-24","13:02:00","0"
"ride requested","5","android","18-24","13:03:00","0"
"ride requested","3","android","18-24","13:04:00","0"
"ride requested","7","android","18-24","13:05:00","0"
"ride requested","3","android","18-24","13:06:00","0"
"ride requested","1","android","18-24","13:07:00","0"
"ride requested","4","android","18-24","13:08:00","0"
"ride requested","6","android","18-24","13:09:00","0"
"ride requested","4","android","18-24","13:10:00","0"
"ride requested","4","android","18-24","13:11:00","0"
"ride requested","3","android","18-24","13:12:00","0"
"ride requested","5","android","18-24","13:13:00","0"
"ride requested","3","android","18-24","13:14:00","0"
"ride requested","4","android","18-24","13:15:00","0"
"ride requested","3","android","18-24","13:16:00","0"
"ride requested","4","android","18-24","13:17:00","0"
"ride requested","3","android","18-24","13:18:00","0"
"ride requested","6","android","18-24","13:19:00","0"
"ride requested","5","android","18-24","13:20:00","0"
"ride requested","5","android","18-24","13:21:00","0"
"ride requested","7","android","18-24","13:22:00","0"
"ride requested","1","android","18-24","13:23:00","0"
"ride requested","6","android","18-24","13:24:00","0"
"ride requested","2","android","18-24","13:25:00","0"
"ride requested","3","android","18-24","13:26:00","0"
"ride requested","1","android","18-24","13:27:00","0"
"ride requested","4","android","18-24","13:28:00","0"
"ride requested","9","android","18-24","13:29:00","0"
"ride requested","7","android","18-24","13:30:00","0"
"ride requested","5","android","18-24","13:31:00","0"
